,PSA
Price/Earnings (TTM),25.87808
Price/Sales (TTM),11.57675
Price/Book (MRQ),6.71161
Price/Cash Flow (TTM),18.27368
5yr Low,155.37
5yr High,277.6
5yr Avg Return,0.0034999999999999966
EPS Growth 5yr,0.0681204
Revenue Growth 5yr,0.0550878
Dividend Growth 5yr,0.0739409
Short Int Current Month,3782850.0
Short Int Prev Month,4200618.0
Short Int Pct of Float,0.0249783
Days to Cover,3.15993
Float,151.6065
Shares Outstanding,174.7927
Institutions Holding Shares,1014.0
% Held by Institutions,0.786026
FCF Growth 5yr,-0.013495698101898036
