,USB
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-1.268065268065268
Growth 1yr High Est,-0.30180180180180183
Growth 1yr Consensus Est,-0.7849335349335349
Growth 2yr Low Est,-1.7949021992500254
Growth 2yr High Est,0.05877651845393783
Growth 2yr Consensus Est,-0.8680628403980437
Growth 5yr Low Est,-0.8284837332438533
Growth 5yr High Est,0.09350992703284727
Growth 5yr Consensus Est,-0.367486903105503
Growth 5yr Actual/Est,0.050076382458018404
Growth 3yr Historic,0.05347995902164171
