,USB
% Above Low,0.21550000000000002
% Held by Institutions,0.7462000000000001
52-Wk Range,['28.59 - 61.11']
Annual Dividend $,1.68
Annual Dividend %,0.049100000000000005
Ask,34.99
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.2
Bid,34.81
Bid Size,100.0
Closing Price,34.75
Day Change $,0.55
Day Change %,0.0161
Day High,35.42
Day Low,34.41
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.478
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,52.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.98
Prev Close,34.2
Shares Outstanding,1.5B
Short Interest,0.0098
Today's Open,35.0
Volume,5617772.0
Volume 10-day Avg,7337296.0
Volume Past Day,(Light)
