,GD
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.08091993185689961
Growth 1yr High Est,-0.025833333333333375
Growth 1yr Consensus Est,-0.05337663259511649
Growth 2yr Low Est,-0.02146089271250906
Growth 2yr High Est,0.07134338465925294
Growth 2yr Consensus Est,0.02494124597337194
Growth 5yr Low Est,0.05368396805815989
Growth 5yr High Est,0.08524453042773383
Growth 5yr Consensus Est,0.06946424924294686
Growth 5yr Actual/Est,0.05709733108776191
Growth 3yr Historic,0.048843594084504505
