,GD
Price/Earnings (TTM),10.72631
Price/Sales (TTM),0.93901
Price/Book (MRQ),2.79506
Price/Cash Flow (TTM),8.51882
5yr Low,100.55
5yr High,230.0
5yr Avg Return,0.013499999999999996
EPS Growth 5yr,0.0887329
Revenue Growth 5yr,0.0498622
Dividend Growth 5yr,0.10517620000000001
Short Int Current Month,2839114.0
Short Int Prev Month,3180120.0
Short Int Pct of Float,0.010399499999999999
Days to Cover,1.76826
Float,266.6266
Shares Outstanding,286.8645
Institutions Holding Shares,1355.0
% Held by Institutions,0.8348779999999999
FCF Growth 5yr,0.07179346114845764
