,GD
% Above Low,0.3461
% Held by Institutions,0.8349
52-Wk Range,['100.55 - 193.76']
Annual Dividend $,4.4
Annual Dividend %,0.0346
Ask,135.88
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,135.4
Bid Size,100.0
Closing Price,135.35
Day Change $,8.22
Day Change %,0.0647
Day High,135.58
Day Low,128.8
Dividend Pay Date,2020-05-08 00:00:00
"EPS (TTM, GAAP)",11.85
Ex-dividend,2020-04-08 00:00:00
Ex-dividend Date,04/08/20
Historical Volatility,0.36100000000000004
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,38.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.73
Prev Close,127.13
Shares Outstanding,286.9M
Short Interest,0.0104
Today's Open,128.8
Volume,2917105.0
Volume 10-day Avg,2575327.0
Volume Past Day,(Above Average)
