,NBL
Price/Earnings (TTM),
Price/Sales (TTM),0.96833
Price/Book (MRQ),0.50884
Price/Cash Flow (TTM),5.62494
5yr Low,2.73
5yr High,47.35
5yr Avg Return,-0.16273333333333329
EPS Growth 5yr,
Revenue Growth 5yr,-0.0279954
Dividend Growth 5yr,-0.0712094
Short Int Current Month,27243898.0
Short Int Prev Month,26190620.0
Short Int Pct of Float,0.056927599999999995
Days to Cover,2.78734
Float,478.79
Shares Outstanding,485.0399
Institutions Holding Shares,640.0
% Held by Institutions,0.9735729999999999
FCF Growth 5yr,0.357935746444128
