,NBL
% Above Low,2.674
% Held by Institutions,0.9736
52-Wk Range,['2.73 - 27.31']
Annual Dividend $,0.08
Annual Dividend %,0.009000000000000001
Ask,10.1
Ask Size,700.0
B/A Ratio,1.2857142857142858
B/A Size,900x700
Beta,2.7
Bid,10.03
Bid Size,900.0
Closing Price,10.03
Day Change $,1.19
Day Change %,0.1346
Day High,10.09
Day Low,9.11
Dividend Pay Date,2020-05-26 00:00:00
"EPS (TTM, GAAP)",-3.16
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.978
Last (size),30.0
Last (time),4:00p ET 05/08/20
Market Cap,4.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,8.84
Shares Outstanding,485.0M
Short Interest,0.056900000000000006
Today's Open,9.15
Volume,12635337.0
Volume 10-day Avg,10932047.0
Volume Past Day,(Above Average)
