,NBL
Next Earnings Announcement,
Growth Analysts,27.0
Growth 1yr Low Est,-4.19718309859155
Growth 1yr High Est,-1.0471698113207548
Growth 1yr Consensus Est,-2.6221764549561524
Growth 2yr Low Est,-2.206521064714277
Growth 2yr High Est,-3.123584905660377
Growth 2yr Consensus Est,-2.665052985187327
Growth 5yr Low Est,-1.4710140431428513
Growth 5yr High Est,-2.082389937106918
Growth 5yr Consensus Est,-1.7767019901248846
Growth 5yr Actual/Est,0.5373067568632085
Growth 3yr Historic,0.12858422939068104
