,NBL,Rating Since
newConstructs,4,2020-05-08
researchTeam,reduce,2019-02-22
creditSuisse,outperform,2017-12-11
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,3,2020-05-08
theStreet,sell,2019-11-14
cfra,4,2015-08-03
ford,3,2020-04-09
