,DGX
Price/Earnings (TTM),18.95808
Price/Sales (TTM),1.87507
Price/Book (MRQ),2.54309
Price/Cash Flow (TTM),13.19618
5yr Low,59.66
5yr High,125.0
5yr Avg Return,0.09456666666666667
EPS Growth 5yr,0.1015105
Revenue Growth 5yr,0.0077081
Dividend Growth 5yr,0.1044581
Short Int Current Month,5750955.0
Short Int Prev Month,5979165.0
Short Int Pct of Float,0.0432677
Days to Cover,3.40972
Float,133.0537
Shares Outstanding,133.7318
Institutions Holding Shares,994.0
% Held by Institutions,0.911404
FCF Growth 5yr,0.10267958379350592
