,DGX
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.5787037037037037
Growth 1yr High Est,-0.006125574272588086
Growth 1yr Consensus Est,-0.2924146389881459
Growth 2yr Low Est,0.15387159137159145
Growth 2yr High Est,0.18800038697772758
Growth 2yr Consensus Est,0.17093598917465952
Growth 5yr Low Est,0.11432776314893761
Growth 5yr High Est,0.13027339757497974
Growth 5yr Consensus Est,0.12230058036195868
Growth 5yr Actual/Est,0.11482058697640396
Growth 3yr Historic,0.03812360772212858
