,DGX
% Below High,0.10220000000000001
% Held by Institutions,0.9114
52-Wk Range,['73.02 - 125.00']
Annual Dividend $,2.24
Annual Dividend %,0.0209
Ask,113.0
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.4
Bid,109.0
Bid Size,100.0
Change Since Close,0.03| |(0.03%)
Closing Price,112.22
Day Change $,4.86
Day Change %,0.0453
Day High,112.97
Day Low,107.28
Dividend Pay Date,2020-04-21 00:00:00
"EPS (TTM, GAAP)",5.66
Ex-dividend,2020-04-06 00:00:00
Ex-dividend Date,04/06/20
Historical Volatility,0.375
Last (size),4.0
Last (time),6:30p ET 05/08/20
Last Trade,112.25
Market Cap,15.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.96
Prev Close,107.36
Shares Outstanding,133.7M
Short Interest,0.0433
Today's Open,108.87
Volume,1674045.0
Volume 10-day Avg,2434892.0
Volume Past Day,(Light)
