,CTVA
Price/Earnings (TTM),111.3778
Price/Sales (TTM),1.37571
Price/Book (MRQ),0.83082
Price/Cash Flow (TTM),16.2314
5yr Low,20.38
5yr High,32.78
5yr Avg Return,-0.06745
Short Int Current Month,8922647.0
Short Int Prev Month,8448151.0
Short Int Pct of Float,0.0119262
Days to Cover,1.87863
Float,748.9919
Shares Outstanding,749.2833
Institutions Holding Shares,1229.0
% Held by Institutions,0.807809
FCF Growth 5yr,2.486559139784946
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
