,PFE
Price/Earnings (TTM),13.59863
Price/Sales (TTM),4.08115
Price/Book (MRQ),3.18034
Price/Cash Flow (TTM),9.76161
5yr Low,27.88
5yr High,46.47
5yr Avg Return,0.021633333333333334
EPS Growth 5yr,0.1471627
Revenue Growth 5yr,0.0085025
Dividend Growth 5yr,0.0672492
Short Int Current Month,44305920.0
Short Int Prev Month,46447256.0
Short Int Pct of Float,0.0079909
Days to Cover,1.88439
Float,5545.243
Shares Outstanding,5554.834
Institutions Holding Shares,3098.0
% Held by Institutions,0.697016
FCF Growth 5yr,-0.045743553809497815
