,PFE
% Below High,0.16469999999999999
% Held by Institutions,0.6970000000000001
52-Wk Range,['27.88 - 44.56']
Annual Dividend $,1.52
Annual Dividend %,0.041100000000000005
Ask,37.3
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.7
Bid,37.25
Bid Size,100.0
Closing Price,37.22
Day Change $,0.26
Day Change %,0.006999999999999999
Day High,37.38
Day Low,37.04
Dividend Pay Date,2020-06-05 00:00:00
"EPS (TTM, GAAP)",2.74
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.309
Last (size),200.0
Last (time),6:30p ET 05/08/20
Market Cap,206.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.6
Prev Close,36.96
Shares Outstanding,5.5B
Short Interest,0.008
Today's Open,37.25
Volume,18881725.0
Volume 10-day Avg,23855600.0
Volume Past Day,(Light)
