,AVY
% Below High,0.2256
% Held by Institutions,0.8926999999999999
52-Wk Range,['76.96 - 141.09']
Annual Dividend $,2.32
Annual Dividend %,0.0222
Ask,111.79
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,95.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,109.26
Day Change $,4.94
Day Change %,0.047400000000000005
Day High,109.53
Day Low,105.93
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",6.9
Ex-dividend,2020-06-02 00:00:00
Ex-dividend Date,06/02/20
Historical Volatility,0.443
Last (size),113.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,9.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",15.11
Prev Close,104.32
Shares Outstanding,83.3M
Short Interest,0.0131
Today's Open,106.35
Volume,379357.0
Volume 10-day Avg,511418.0
Volume Past Day,(Light)
