,AVY
Price/Earnings (TTM),15.10892
Price/Sales (TTM),1.23267
Price/Book (MRQ),7.40758
Price/Cash Flow (TTM),11.30857
5yr Low,53.56
5yr High,141.09
5yr Avg Return,0.15416666666666667
EPS Growth 5yr,0.0668759
Revenue Growth 5yr,0.0223515
Dividend Growth 5yr,0.1101987
Short Int Current Month,1085320.0
Short Int Prev Month,1136615.0
Short Int Pct of Float,0.01312
Days to Cover,1.81675
Float,82.73215
Shares Outstanding,83.34004
Institutions Holding Shares,796.0
% Held by Institutions,0.8926850000000001
FCF Growth 5yr,0.2590955934612651
