,EW
% Below High,0.12029999999999999
% Held by Institutions,0.8694
52-Wk Range,['154.52 - 247.64']
Annual Dividend $,
Annual Dividend %,
Ask,235.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,213.03
Bid Size,100.0
Closing Price,217.84
Day Change $,-0.2
Day Change %,-0.0009
Day High,222.18
Day Low,217.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.24
Ex-dividend Date,No dividend
Historical Volatility,0.40700000000000003
Last (size),7.0
Last (time),6:30p ET 05/08/20
Market Cap,45.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",41.64
Prev Close,218.04
Shares Outstanding,206.6M
Short Interest,0.011899999999999999
Today's Open,220.94
Volume,627555.0
Volume 10-day Avg,1077592.0
Volume Past Day,(Light)
