,INFO
Price/Earnings (TTM),30.69177
Price/Sales (TTM),5.94654
Price/Book (MRQ),3.16121
Price/Cash Flow (TTM),18.2255
5yr Low,24.96
5yr High,81.65
5yr Avg Return,0.1925166666666667
EPS Growth 5yr,0.1114917
Revenue Growth 5yr,0.1624491
Dividend Growth 5yr,
Short Int Current Month,10652423.0
Short Int Prev Month,12351585.0
Short Int Pct of Float,0.0286827
Days to Cover,4.30896
Float,371.1709
Shares Outstanding,398.9164
Institutions Holding Shares,838.0
% Held by Institutions,0.96604
FCF Growth 5yr,0.3120000683461095
