,INFO
% Below High,0.17859999999999998
% Held by Institutions,0.966
52-Wk Range,['44.81 - 81.65']
Annual Dividend $,0.68
Annual Dividend %,0.0103
Ask,77.0
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.0
Bid,62.83
Bid Size,100.0
Closing Price,67.07
Day Change $,0.75
Day Change %,0.0113
Day High,67.52
Day Low,66.58
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.42
Last (size),63400.0
Last (time),6:30p ET 05/08/20
Market Cap,26.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.69
Prev Close,66.32
Shares Outstanding,398.9M
Short Interest,0.0287
Today's Open,67.02
Volume,1485300.0
Volume 10-day Avg,1940062.0
Volume Past Day,(Light)
