,LYV
Price/Earnings (TTM),
Price/Sales (TTM),0.73374
Price/Book (MRQ),7.34299
Price/Cash Flow (TTM),15.82525
5yr Low,18.77
5yr High,76.6
5yr Avg Return,0.13396666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.1095533
Dividend Growth 5yr,
Short Int Current Month,20435016.0
Short Int Prev Month,22466446.0
Short Int Pct of Float,0.13098369999999998
Days to Cover,2.97614
Float,157.1754
Shares Outstanding,215.221
Institutions Holding Shares,617.0
% Held by Institutions,0.7645879999999999
FCF Growth 5yr,0.3123434377913571
