,LYV
% Above Low,0.9336
% Held by Institutions,0.7646
52-Wk Range,['21.70 - 76.60']
Annual Dividend $,
Annual Dividend %,
Ask,42.15
Ask Size,900.0
B/A Ratio,0.3333333333333333
B/A Size,300x900
Beta,1.1
Bid,42.0
Bid Size,300.0
Closing Price,41.96
Day Change $,2.59
Day Change %,0.0658
Day High,42.45
Day Low,39.37
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.07
Ex-dividend Date,No dividend
Historical Volatility,0.635
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,9.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,39.37
Shares Outstanding,215.2M
Short Interest,0.131
Today's Open,41.07
Volume,10712655.0
Volume 10-day Avg,6259061.0
Volume Past Day,(Heavy Day)
