,DOV
Price/Earnings (TTM),17.85273
Price/Sales (TTM),1.85484
Price/Book (MRQ),4.39807
Price/Cash Flow (TTM),12.82966
5yr Low,50.91
5yr High,120.26
5yr Avg Return,0.08831666666666668
EPS Growth 5yr,0.00014099999999999998
Revenue Growth 5yr,-0.0164309
Dividend Growth 5yr,0.0459093
Short Int Current Month,1388157.0
Short Int Prev Month,1733075.0
Short Int Pct of Float,0.0097998
Days to Cover,1.235
Float,142.5806
Shares Outstanding,143.947
Institutions Holding Shares,981.0
% Held by Institutions,0.829025
FCF Growth 5yr,0.026557029381281662
