,DOV
% Below High,0.23309999999999997
% Held by Institutions,0.8290000000000001
52-Wk Range,['62.95 - 120.26']
Annual Dividend $,1.96
Annual Dividend %,0.0215
Ask,107.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,81.0
Bid Size,100.0
Closing Price,92.23
Day Change $,1.16
Day Change %,0.0127
Day High,93.5
Day Low,91.32
Dividend Pay Date,2020-03-16 00:00:00
"EPS (TTM, GAAP)",5.1
Ex-dividend,2020-02-27 00:00:00
Ex-dividend Date,02/27/20
Historical Volatility,0.446
Last (size),40.0
Last (time),6:30p ET 05/08/20
Market Cap,13.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",17.85
Prev Close,91.07
Shares Outstanding,143.9M
Short Interest,0.0098
Today's Open,92.88
Volume,588255.0
Volume 10-day Avg,893139.0
Volume Past Day,(Light)
