,CTSH
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,31.0
Growth 1yr Low Est,-0.2202531645569621
Growth 1yr High Est,0.035175879396984966
Growth 1yr Consensus Est,-0.09253864257998856
Growth 2yr Low Est,-0.050061647213546
Growth 2yr High Est,0.08797628921305556
Growth 2yr Consensus Est,0.01895732099975478
Growth 5yr Low Est,-0.0073200797487047164
Growth 5yr High Est,0.06662707603011844
Growth 5yr Consensus Est,0.029653498140706863
Growth 5yr Actual/Est,0.025213039885513572
Growth 3yr Historic,0.021321732670106647
