,CTSH
Price/Earnings (TTM),18.39976
Price/Sales (TTM),1.88143
Price/Book (MRQ),2.9953
Price/Cash Flow (TTM),13.51144
5yr Low,40.01
5yr High,85.1
5yr Avg Return,-0.0069666666666666635
EPS Growth 5yr,0.069576
Revenue Growth 5yr,0.10337149999999999
Dividend Growth 5yr,
Short Int Current Month,8772380.0
Short Int Prev Month,8661710.0
Short Int Pct of Float,0.0160354
Days to Cover,2.04232
Float,535.6455
Shares Outstanding,541.0555
Institutions Holding Shares,1257.0
% Held by Institutions,0.9331510000000001
FCF Growth 5yr,0.055146384708751904
