,CTSH
% Below High,0.2003
% Held by Institutions,0.9331999999999999
52-Wk Range,['40.01 - 71.48']
Annual Dividend $,0.88
Annual Dividend %,0.015
Ask,57.56
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,55.02
Bid Size,200.0
Closing Price,57.16
Day Change $,-1.6
Day Change %,-0.027200000000000002
Day High,57.56
Day Low,54.24
Dividend Pay Date,2020-02-28 00:00:00
"EPS (TTM, GAAP)",3.19
Ex-dividend,2020-02-14 00:00:00
Ex-dividend Date,02/14/20
Historical Volatility,0.441
Last (size),20.0
Last (time),4:00p ET 05/08/20
Market Cap,30.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.4
Prev Close,58.76
Shares Outstanding,541.1M
Short Interest,0.016
Today's Open,55.0
Volume,7785161.0
Volume 10-day Avg,4139471.0
Volume Past Day,(Heavy Day)
