,DAL
% Above Low,0.1895
% Held by Institutions,0.8351999999999999
52-Wk Range,['19.10 - 63.44']
Annual Dividend $,
Annual Dividend %,
Ask,22.58
Ask Size,100.0
B/A Ratio,39.0
B/A Size,3900x100
Beta,1.3
Bid,22.53
Bid Size,3900.0
Change Since Close,-0.17| |(-0.75%)
Closing Price,22.72
Day Change $,1.04
Day Change %,0.048
Day High,22.92
Day Low,22.05
Dividend Pay Date,03/12/20
"EPS (TTM, GAAP)",5.39
Ex-dividend Date,02/19/20
Historical Volatility,0.643
Last (size),5.0
Last (time),6:30p ET 05/08/20
Last Trade,22.55
Market Cap,14.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.02
Prev Close,21.68
Shares Outstanding,637.8M
Short Interest,0.035699999999999996
Today's Open,22.36
Volume,43366769.0
Volume 10-day Avg,59575360.0
Volume Past Day,(Light)
