,DAL
Price/Earnings (TTM),4.02453
Price/Sales (TTM),0.30643
Price/Book (MRQ),0.9664
Price/Cash Flow (TTM),2.2503
5yr Low,19.1
5yr High,63.44
5yr Avg Return,-0.05166666666666668
EPS Growth 5yr,0.5640866
Revenue Growth 5yr,0.0309509
Dividend Growth 5yr,
Short Int Current Month,22743572.0
Short Int Prev Month,25008916.0
Short Int Pct of Float,0.035682399999999996
Days to Cover,0.35829
Float,635.408
Shares Outstanding,637.8261
Institutions Holding Shares,1390.0
% Held by Institutions,0.835183
FCF Growth 5yr,0.11687257688009281
