,DAL
Next Earnings Announcement,2020-07-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-2.5647058823529414
Growth 1yr High Est,-1.2521008403361344
Growth 1yr Consensus Est,-1.908403361344538
Growth 2yr Low Est,-1.8368642193719595
Growth 2yr High Est,-3.1371615312791783
Growth 2yr Consensus Est,-2.487012875325569
Growth 5yr Low Est,-0.8237744333374319
Growth 5yr High Est,-1.489454394245847
Growth 5yr Consensus Est,-1.1566144137916394
Growth 5yr Actual/Est,-0.7581744631760767
Growth 3yr Historic,0.10996248362024086
