,AGN
Price/Earnings (TTM),
Price/Sales (TTM),3.95382
Price/Book (MRQ),1.09709
Price/Cash Flow (TTM),17.63605
5yr Low,114.27
5yr High,340.34
5yr Avg Return,-0.04363333333333332
EPS Growth 5yr,
Revenue Growth 5yr,0.2803275
Dividend Growth 5yr,
Short Int Current Month,15005418.0
Short Int Prev Month,12486687.0
Short Int Pct of Float,0.045709299999999994
Days to Cover,4.18905
Float,329.2517
Shares Outstanding,329.7655
Institutions Holding Shares,1273.0
% Held by Institutions,0.8534149999999999
FCF Growth 5yr,0.6381316223198686
