,AGN
% Below High,0.0455
% Held by Institutions,0.8534
52-Wk Range,['114.27 - 202.22']
Annual Dividend $,2.96
Annual Dividend %,0.015300000000000001
Ask,194.0
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,193.02
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,193.02
Day Change $,0.03
Day Change %,0.0002
Day High,193.38
Day Low,191.64
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",-7.59
Ex-dividend,2020-04-15 00:00:00
Ex-dividend Date,04/15/20
Historical Volatility,0.325
Last (size),17.0
Last (time),6:30p ET 05/08/20
Last Trade,0.0
Market Cap,63.7B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,192.99
Shares Outstanding,329.8M
Short Interest,0.045700000000000005
Today's Open,193.01
Volume,12442653.0
Volume 10-day Avg,4920869.0
Volume Past Day,(Heavy Day)
